ActivityDate,"Comments ","Common Species ","Crew ","Dominant Species ","End Time ","Is AEM Site ","Note Taker ","Rare Species ","Start Time ","Unit ","Visibility ","VisitId ",Water Temperature C,"Weather Conditions ","AEM Habitat Type ","AEM Length ",Ambient Temp C,Channel Average Depth m,Channel Length m,Channel Max Depth m,"Channel Unit Type ",Channel Width m,"ChannelUnitNumber ","CreatedOffChannelUsed ","FieldNotes ","FishCount ","FishID ","Lane ","Minimum Temp ","NaturalBoulderUsed ","NaturalOffChannelUsed ","NaturalWoodUsed ","NewSideChannelUsed ","No. Snorklers ","NoStructureUsed ","Other Species Pres ","PlacedBoulderUsed ","PlacedWoodUsed ","Size Class ","Species ","Unidentified Salmonid ",CreateDate,QAStatusId,QAStatus,ActivityQAComments,LocationId,ActivityQAStatusId,DatasetId,ActivityId,RowId,RowStatusId
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,10,,FA,8,2,NO,,40,1,1,,NO,NO,NO,NO,,NO,,NO,YES,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,1,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,15,,FA,12,2,NO,,10,2,1,,NO,NO,NO,NO,,NO,,NO,YES,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,2,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,20,,FA,16,2,NO,,5,3,1,,NO,NO,NO,NO,,NO,,NO,YES,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,3,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,25,,FA,20,2,NO,,10,4,1,,NO,NO,NO,NO,,NO,,NO,YES,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,4,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,30,,FA,24,2,NO,,10,5,1,,NO,NO,NO,NO,,NO,,NO,YES,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,5,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,35,,FA,28,3,NO,,3,6,1,,NO,NO,NO,NO,,YES,,NO,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,6,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,40,,FA,32,3,NO,,1,7,1,,NO,NO,NO,NO,,YES,,NO,NO,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,7,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,45,,FA,36,3,NO,,10,8,1,,NO,NO,NO,NO,,NO,,YES,NO,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,8,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,50,,FA,40,3,NO,,10,9,1,,NO,NO,NO,NO,,YES,,NO,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,9,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,55,,FA,44,3,NO,,5,10,1,,NO,NO,NO,NO,,YES,,NO,NO,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,10,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,60,,FA,48,3,NO,,5,11,1,,NO,NO,NO,NO,,YES,,NO,NO,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,11,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,65,,FA,52,4,NO,,3,12,1,,NO,NO,NO,NO,,NO,,YES,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,12,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,70,,FA,56,5,NO,,100,13,1,,NO,NO,NO,NO,,YES,,NO,NO,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,13,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,75,,FA,60,5,NO,,10,14,1,,NO,NO,NO,NO,,YES,,NO,NO,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,14,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,80,,FA,64,5,NO,,10,15,1,,NO,NO,NO,NO,,YES,,NO,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,15,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,85,,FA,68,5,NO,,20,16,1,,NO,NO,NO,NO,,YES,,NO,NO,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,16,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,90,,FA,72,6,NO,,10,17,1,,NO,NO,NO,NO,,NO,,NO,YES,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,17,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,95,,FA,76,6,NO,,10,18,1,,NO,NO,NO,NO,,NO,,NO,YES,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,18,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,100,,FA,80,7,NO,,50,19,1,,NO,NO,NO,NO,,YES,,NO,NO,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,19,0
